,price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,park,Lift,Status_Under Construction,Status_unknown,neworold_Resale,Furnished_status_Semi-Furnished,Furnished_status_Unfurnished,Furnished_status_unknown,type_of_building_Individual House
52,14600000.0,913.0,19.24198,72.83565,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
53,32500000.0,1034.0,19.2248756,72.86314300000001,3.0,3.0,0.0,0.0,0.0,0,1,0,0,1,0,0
54,27500000.0,1260.0,19.023906707763672,72.86747741699219,3.0,3.0,0.0,0.0,0.0,0,0,1,1,0,0,0
55,17500000.0,1175.0,19.043911,72.89877800000001,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
56,17000000.0,1100.0,19.133092,72.93475,2.0,2.0,1.0,1.0,1.0,0,1,0,0,1,0,0
57,120000000.0,3000.0,19.138865,72.834731,6.0,4.0,2.0,2.0,2.0,0,0,1,0,0,1,0
58,30000000.0,1094.0,19.046959,72.915291,3.0,3.0,0.0,0.0,0.0,0,1,0,0,1,0,0
59,27000000.0,1550.0,19.1714,72.940339,3.0,3.0,3.0,3.0,3.0,0,1,1,0,1,0,0
60,15300000.0,1181.0,19.068051,72.89605,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
61,36000000.0,875.0,19.0175169,72.84711690000002,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
62,63000000.0,1669.0,19.081175,72.84143900000001,3.0,3.0,1.0,1.0,1.0,0,1,0,0,1,0,0
63,13400000.0,1035.0,19.10005168,72.88491275,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
64,55500000.0,1775.0,19.0787080118698,72.8402855073601,3.0,3.0,0.0,0.0,0.0,0,1,0,1,0,0,0
65,49000000.0,2252.0,18.99331,72.847938,3.0,3.0,0.0,0.0,0.0,0,1,1,1,0,0,0
66,22500000.0,1390.0,19.183819,72.86111600000001,2.0,2.0,3.0,3.0,3.0,0,0,1,0,1,0,0
67,18700000.0,1014.0,19.16668,72.94845,2.0,2.0,1.0,1.0,1.0,0,1,0,0,1,0,0
68,50000000.0,2000.0,19.13844,72.812187,3.0,3.0,2.0,2.0,2.0,0,0,1,0,0,1,0
69,21200000.0,1400.0,19.1709035,72.8510933,2.0,2.0,2.0,2.0,2.0,0,0,1,1,0,0,0
70,14900000.0,1350.0,19.263496,72.875621,3.0,3.0,5.0,5.0,5.0,0,1,0,0,1,0,0
71,12800000.0,1545.0,19.28217,72.87654,3.0,3.0,4.0,4.0,4.0,0,1,0,0,1,0,0
72,9600000.0,1055.0,19.265946,72.880409,2.0,2.0,4.0,4.0,4.0,0,1,0,0,1,0,0
73,55000000.0,1866.0,19.114625,72.88469599999999,4.0,6.0,1.0,1.0,1.0,0,1,0,0,1,0,0
74,13799999.999999998,1070.0,19.259015,72.854824,2.0,2.0,1.0,1.0,1.0,0,1,0,0,1,0,0
75,16800000.0,1144.0,19.195988,72.868512,2.0,2.0,1.0,1.0,1.0,0,1,1,0,1,0,0
76,11700000.0,1200.0,19.281902,72.886296,3.0,3.0,3.0,3.0,3.0,0,1,0,0,1,0,0
77,10600000.0,690.0,19.136906,72.930603,2.0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0
78,30000000.0,1000.0,19.032798767089844,72.89635467529297,3.0,3.0,1.0,1.0,1.0,0,1,0,0,1,0,0
79,30500000.0,950.0,19.03039,72.85475,2.0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0
80,10400000.0,1024.0,19.263496,72.875621,2.0,2.0,3.0,3.0,3.0,0,1,0,1,0,0,0
81,34000000.0,1019.0,19.053375,72.897061,3.0,3.0,0.0,0.0,0.0,0,1,0,0,1,0,0
82,38800000.0,2377.0,19.18023681640625,72.85541534423828,3.0,3.0,4.0,4.0,4.0,0,1,0,0,1,0,0
83,29000000.0,1377.0,19.140335,72.8647155,3.0,2.0,2.0,2.0,2.0,0,1,1,1,0,0,0
84,25400000.0,1507.0,19.156373,72.93894499999999,3.0,3.0,1.0,1.0,1.0,0,1,0,1,0,0,0
85,36000000.0,2250.0,19.139475,72.864462,3.0,4.0,1.0,1.0,1.0,0,1,0,0,1,0,0
86,13899999.999999998,1200.0,19.040233,72.8601801,2.0,2.0,1.0,1.0,1.0,0,1,0,0,1,0,0
87,9000000.0,1071.0,19.273876,72.880675,2.0,2.0,3.0,3.0,3.0,0,1,0,1,0,0,0
88,17000000.0,1100.0,19.162992477416992,72.83930206298828,2.0,2.0,0.0,0.0,0.0,0,1,1,0,1,0,0
89,27800000.0,1600.0,19.171175,72.94032800000001,3.0,3.0,1.0,1.0,1.0,0,1,0,0,1,0,0
90,17000000.0,1190.0,19.1907193,72.8618457,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
91,18000000.0,950.0,19.057437,72.905785,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
92,29600000.0,1600.0,19.21104,72.869411,3.0,2.0,1.0,1.0,1.0,0,1,0,0,1,0,0
93,56400000.0,2068.0,19.100385665893555,72.8504638671875,3.0,3.0,0.0,0.0,0.0,0,0,0,1,0,0,0
94,340000000.0,8000.0,19.0166667,72.8166667,5.0,6.0,1.0,1.0,1.0,0,1,0,0,1,0,0
95,26700000.0,2017.0,19.1657808,72.934534,3.0,3.0,0.0,0.0,0.0,0,1,0,0,1,0,0
96,60000000.0,1800.0,19.098821,72.8320717,3.0,3.0,3.0,3.0,3.0,0,0,1,1,0,0,0
97,33500000.0,1540.0,19.123709,72.89286700000001,3.0,3.0,1.0,1.0,1.0,0,1,0,1,0,0,0
98,54000000.0,3018.0,19.1746739,72.94310379999999,4.0,5.0,1.0,1.0,1.0,0,1,0,0,1,0,0
99,29000000.0,1800.0,19.157602,72.945243,3.0,3.0,1.0,1.0,1.0,0,1,0,1,0,0,0
100,8200000.0,1062.0,19.280103,72.8794099,2.0,2.0,4.0,4.0,4.0,0,1,0,0,1,0,0
101,230000000.0,4600.0,19.0082903,72.8201324,4.0,4.0,2.0,2.0,2.0,0,1,0,1,0,0,0
102,18100000.0,1200.0,19.12258624,72.86705,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
103,29000000.0,894.0,19.031132,72.843476,2.0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0
104,73000000.0,2410.0,19.100385,72.850466,4.0,4.0,1.0,1.0,1.0,0,1,0,0,1,0,0
105,14400000.0,1050.0,19.040233,72.8601801,2.0,2.0,1.0,1.0,1.0,0,1,0,1,0,0,0
106,7730000.0,1031.0,19.282975,72.87361800000001,2.0,2.0,4.0,4.0,4.0,0,1,0,0,1,0,0
107,8170000.0,974.0,19.2834,72.886291,2.0,2.0,4.0,4.0,4.0,0,1,0,1,0,0,0
108,8300000.0,1013.0,19.2834,72.886291,2.0,2.0,4.0,4.0,4.0,0,1,0,0,1,0,0
109,23500000.0,850.0,19.166970000000003,72.83154,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
110,81000000.0,2340.0,19.004529021432425,72.8311680180356,4.0,4.0,0.0,0.0,0.0,0,1,0,1,0,0,0
111,7800000.0,1013.0,19.2834,72.886291,2.0,2.0,4.0,4.0,4.0,0,1,0,0,0,0,0
112,33500000.0,1450.0,19.12419,72.83021,3.0,3.0,0.0,0.0,0.0,0,1,0,1,0,0,0
113,15000000.0,676.0,19.07906913757324,72.90797424316406,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
114,8280000.0,974.0,19.2834,72.886291,2.0,2.0,4.0,4.0,4.0,0,1,0,0,1,0,0
115,18400000.0,990.0,19.1590077,72.86927109999999,2.0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0
116,22500000.0,1000.0,19.043911,72.89877800000001,2.0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0
